Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UI and Robustness Checks,Edge Chromium 138.0.3351.65,,,05-07-2025 17:27:53,05-07-2025 17:29:09,"1m - 15,746s",PASSED
,,,,,,,
Test Cases/BrokenObject,Edge Chromium 138.0.3351.65,,,05-07-2025 17:27:56,05-07-2025 17:28:41,"45,450s",PASSED
"openBrowser("""")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:27:58,05-07-2025 17:28:06,"7,933s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:06,05-07-2025 17:28:07,"1,112s",PASSED
"setText(findTestObject(""Object Repository/BrokenObject/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:07,05-07-2025 17:28:09,"2,347s",PASSED
"setEncryptedText(findTestObject(""Object Repository/BrokenObject/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:09,05-07-2025 17:28:10,"0,451s",PASSED
"click(findTestObject(""Object Repository/BrokenObject/Page_Swag Labs/input_Swag Labs_login-button""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:10,05-07-2025 17:28:41,"31,568s",PASSED
,,,,,,,
Test Cases/CompleteCheckout,Edge Chromium 138.0.3351.65,"1. Login with valid credentials. 
2. Add one item to the cart. 
3. Go to the cart and click Checkout. 
4. Fill in the checkout information: 
• First Name: John 
• Last Name: Doe 
• Zip/Postal Code: 12345 
5. Click Continue, then Finish. 
6. Verify that the confirmation message appears: “Thank you for your order!”.",,05-07-2025 17:28:41,05-07-2025 17:28:56,"14,311s",PASSED
"openBrowser("""")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:42,05-07-2025 17:28:45,"3,389s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:45,05-07-2025 17:28:46,"0,701s",PASSED
"setText(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:46,05-07-2025 17:28:48,"2,263s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:48,05-07-2025 17:28:49,"0,378s",PASSED
"sendKeys(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/input_Swag Labs_password""), Keys.chord(ENTER))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:49,05-07-2025 17:28:49,"0,432s",PASSED
"click(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/button_Add to cart""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:49,05-07-2025 17:28:49,"0,483s",PASSED
"click(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/a_1""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:49,05-07-2025 17:28:50,"0,566s",PASSED
"click(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/button_Checkout""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:50,05-07-2025 17:28:51,"0,568s",PASSED
"setText(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/input_Checkout Your Information_firstName""), ""John"")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:51,05-07-2025 17:28:51,"0,852s",PASSED
"setText(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/input_Checkout Your Information_lastName""), ""Doe"")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:51,05-07-2025 17:28:52,"0,809s",PASSED
"setText(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""12345"")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:52,05-07-2025 17:28:53,"0,832s",PASSED
"click(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/input_Cancel_continue""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:53,05-07-2025 17:28:54,"0,588s",PASSED
"click(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/button_Finish""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:54,05-07-2025 17:28:54,"0,459s",PASSED
"click(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/h2_Thank you for your order""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:54,05-07-2025 17:28:55,"0,548s",PASSED
"click(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/div_Your order has been dispatched, and wil_39390f""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:55,05-07-2025 17:28:55,"0,310s",PASSED
"click(findTestObject(""Object Repository/CompleteCheckout/Page_Swag Labs/img_Checkout Complete_pony_express""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:55,05-07-2025 17:28:55,"0,345s",PASSED
"message = getText(findTestObject(""CompleteCheckout/Page_Swag Labs/h2_Thank you for your order""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:55,05-07-2025 17:28:56,"0,311s",PASSED
